Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
SMPD1,200176,,Karyotype,30026
MFSD8,665796,,Karyotype,29753
CRTAP,203269,,Karyotype,28942
FKBP10,209426,,Karyotype,30252
DNAAF1,119237,,Karyotype,29211
DNAH11,796189,,Karyotype,29199
DNAH5,562817,,Karyotype,30166
DNAI1,772808,,Karyotype,28977
DNAI2,597808,,Karyotype,29560
RPGR,659385,,Karyotype,29593
RSPH4A,337849,,Karyotype,29515
RSPH9,636894,,Karyotype,29152
ACVRL1,990183,,Karyotype,29726
BMPR2,625561,,Karyotype,29753
ENG,175461,,Karyotype,29604
BEST1,794805,,Karyotype,30053
CERKL,538486,,Karyotype,29345
CLRN1,710773,,Karyotype,30292
CNGA1,951784,,Karyotype,30279
CNGB1,791324,,Karyotype,30224
COL18A1,753984,,Karyotype,30089
CRB1,289343,,Karyotype,29083
CRX,961280,,Karyotype,29625
EYS,400205,,Karyotype,29670
FAM161A,188868,,Karyotype,29215
IMPG2,129603,,Karyotype,29758
KLHL7,650344,,Karyotype,29151
MERTK,346230,,Karyotype,29635
PANK2,869688,,Karyotype,30084
PDE6A,852909,,Karyotype,29758
PDE6B,735555,,Karyotype,29951
PDE6G,366207,,Karyotype,29677
PHYH,495386,,Karyotype,29026
PRCD,539228,,Karyotype,30121
PRPF3,749930,,Karyotype,30195
PRPF31,375703,,Karyotype,29355
PRPF8,452152,,Karyotype,30117
PRPH2,140262,,Karyotype,28942
RDH12,525206,,Karyotype,29516
RHO,341879,,Karyotype,29258
RLBP1,327406,,Karyotype,29362
RP1,561224,,Karyotype,29303
RP1L1,791775,,Karyotype,29485
RP2,608825,,Karyotype,29708
RPE65,734989,,Karyotype,29404
SAG,943269,,Karyotype,30107
SNRNP200,841123,,Karyotype,29215
SPATA7,978436,,Karyotype,29921
TOPORS,190729,,Karyotype,29833
TULP1,143688,,Karyotype,30195
ACTA1,658885,,Karyotype,30147
ACTB,216742,,Karyotype,29959
ACTG1,860026,,Karyotype,29109
AGL,752791,,Karyotype,29841
ALG1,781802,,Karyotype,29029
ALG3,317161,,Karyotype,29211
ALX4,226972,,Karyotype,29851
AP4M1,963495,,Karyotype,30212
ARX,179014,,Karyotype,30281
ATP13A2,532659,,Karyotype,29065
ATP1A2,793462,,Karyotype,29343
ATP6V0A4,696348,,Karyotype,30237
ATP6V1B1,722696,,Karyotype,29648
ATRX,483881,,Karyotype,30290
AVPR2,945828,,Karyotype,29381
BCOR,110409,,Karyotype,29886
CACNA1A,585892,,Karyotype,29263
CANT1,750450,,Karyotype,29840
CASK,575449,,Karyotype,29478
CD40LG,195621,,Karyotype,29928
CDC73,476353,,Karyotype,30062
CHRNG,684634,,Karyotype,30007
CLCN5,238832,,Karyotype,30177
COL2A1,762110,,Karyotype,29791
COL6A3,916926,,Karyotype,29964
COL7A1,785053,,Karyotype,29374
COL9A3,102028,,Karyotype,30047
CREBBP,637364,,Karyotype,29139
CRYAA,412305,,Karyotype,28979
CRYBA1,277428,,Karyotype,28967
CSTB,202447,,Karyotype,29567
CTSK,123332,,Karyotype,29236
CUL4B,880395,,Karyotype,29655
CUL7,515773,,Karyotype,29152
DARS2,153416,,Karyotype,29734
DDX11,301188,,Karyotype,29904
DLD,164006,,Karyotype,29549
DLG3,608462,,Karyotype,29690
DNM1L,766229,,Karyotype,29946
DOCK8,693563,,Karyotype,30124
DOK7,410080,,Karyotype,29295
DPAGT1,103840,,Karyotype,29041
EDA,606488,,Karyotype,28998
EFNB1,793982,,Karyotype,28965
ELN,532996,,Karyotype,29268
ERCC2,942751,,Karyotype,29717
ERCC6,219836,,Karyotype,29214
EYA4,467838,,Karyotype,29393
FA2H,843092,,Karyotype,29302
FGD1,115400,,Karyotype,30012
FN1,146374,,Karyotype,29753
FOXG1,528536,,Karyotype,29978
FOXP2,718346,,Karyotype,30156
FTSJ1,172387,,Karyotype,29742
GAN,815672,,Karyotype,30122
GBE1,754760,,Karyotype,30110
GFER,818765,,Karyotype,30170
GJC2,847419,,Karyotype,28994
GLI2,646814,,Karyotype,30288
GPR143,448343,,Karyotype,29291
GUCY2D,951468,,Karyotype,29151
HDAC4,534628,,Karyotype,29028
HEXA,852922,,Karyotype,29739
HIBCH,374881,,Karyotype,30201
HMGCL,421079,,Karyotype,29735
HNF4A,243731,,Karyotype,29276
HSD17B3,153563,,Karyotype,29469
IGF1R,341057,,Karyotype,29974
IL2RG,693627,,Karyotype,29204
IQSEC2,858185,,Karyotype,30278
ITK,662445,,Karyotype,29442
JAG1,686234,,Karyotype,30016
KCNA1,584088,,Karyotype,29018
KCNC3,279974,,Karyotype,29598
KCNQ2,570642,,Karyotype,30140
LAMA2,378307,,Karyotype,30016
LCA5,676776,,Karyotype,29881
LMBRD1,846464,,Karyotype,29291
LRP5,761878,,Karyotype,29813
LRRK2,745099,,Karyotype,29406
LRTOMT,886504,,Karyotype,30250
MAN2B1,255246,,Karyotype,30117
MCOLN1,180265,,Karyotype,29834
MED13L,224063,,Karyotype,29029
MRPS22,429011,,Karyotype,29572
MTRR,145707,,Karyotype,29418
MYCN,131234,,Karyotype,29154
MYH3,503082,,Karyotype,29821
MYO15A,550286,,Karyotype,29774
NAGLU,586280,,Karyotype,29730
NPC1,697723,,Karyotype,29738
NUBPL,671381,,Karyotype,29541
OCA2,387898,,Karyotype,29133
OCRL,578040,,Karyotype,30008
OTX2,707220,,Karyotype,29968
PAX2,771800,,Karyotype,30281
PAX9,545809,,Karyotype,29737
PCDH19,491367,,Karyotype,29325
PCNT,883230,,Karyotype,29176
PEX10,722769,,Karyotype,29231
PHF6,252861,,Karyotype,30268
PHF8,778793,,Karyotype,29500
PHKA2,401305,,Karyotype,29488
PLP1,389259,,Karyotype,29590
PNKP,544075,,Karyotype,29267
POLH,979434,,Karyotype,29704
POMC,196187,,Karyotype,29734
PQBP1,580489,,Karyotype,29726
PRF1,173696,,Karyotype,30008
PRODH,585229,,Karyotype,29813
PRPS1,472543,,Karyotype,30077
PYCR1,211736,,Karyotype,29208
PYGM,475636,,Karyotype,29294
RAB23,844397,,Karyotype,28949
RAB3GAP1,247575,,Karyotype,29159
RAB3GAP2,352699,,Karyotype,30240
RAI1,951012,,Karyotype,29652
RARS2,692347,,Karyotype,29329
RBM10,131381,,Karyotype,29735
RECQL4,510609,,Karyotype,30116
RELN,242243,,Karyotype,29125
RFXANK,488118,,Karyotype,30070
RPS6KA3,123141,,Karyotype,29845
RSPO4,786965,,Karyotype,29929
RYR1,707317,,Karyotype,30289
SACS,427029,,Karyotype,29865
SAMD9,548460,,Karyotype,30061
SATB2,743731,,Karyotype,30240
SBDS,137473,,Karyotype,29967
SCN8A,498895,,Karyotype,29679
SCN9A,310494,,Karyotype,29777
SETBP1,722916,,Karyotype,29494
SGSH,646355,,Karyotype,29470
SH2D1A,833778,,Karyotype,30205
SLC16A2,840115,,Karyotype,29921
SLC22A5,351648,,Karyotype,28970
SLC25A4,536745,,Karyotype,29687
SLC26A2,232702,,Karyotype,29382
SLC27A4,756090,,Karyotype,29592
SLC6A8,610816,,Karyotype,30138
SMC1A,145627,,Karyotype,29365
SMC3,729009,,Karyotype,29818
SOX2,313920,,Karyotype,30127
SPG7,902029,,Karyotype,29628
SPRED1,112754,,Karyotype,30270
SYNGAP1,685775,,Karyotype,29648
TBC1D24,814954,,Karyotype,29627
TBX19,858796,,Karyotype,30065
TFAP2A,653543,,Karyotype,29746
TGM5,599102,,Karyotype,29458
TH,490991,,Karyotype,30189
TMPRSS3,724738,,Karyotype,29014
TNXB,289825,,Karyotype,29051
TPM3,651247,,Karyotype,30140
TRMU,458118,,Karyotype,29271
TRPS1,282569,,Karyotype,29580
TSEN54,928922,,Karyotype,29050
TUBA1A,552201,,Karyotype,29363
TUBB,581034,,Karyotype,29374
TUBB3,617453,,Karyotype,29735
TYR,920683,,Karyotype,29791
UBE3A,622192,,Karyotype,29593
UGT1A1,857390,,Karyotype,29905
VPS33B,719498,,Karyotype,29544
WDR62,860483,,Karyotype,30126
WDR72,737707,,Karyotype,30131
WNT10A,632422,,Karyotype,29867
XYLT2,885144,,Karyotype,29719
ZDHHC9,221436,,Karyotype,29307
ZEB2,454308,,Karyotype,29112
AIPL1,533377,,Karyotype,29214
C1QTNF5,272570,,Karyotype,29102
CABP4,556319,,Karyotype,28953
CACNA1F,249189,,Karyotype,29549
CDHR1,785102,,Karyotype,29350
CNGB3,548926,,Karyotype,29633
CYP4V2,986399,,Karyotype,29270
EFEMP1,659788,,Karyotype,29223
ELOVL4,718883,,Karyotype,29889
GRM6,157808,,Karyotype,29019
HGSNAT,287040,,Karyotype,29750
KCNV2,812971,,Karyotype,28965
LRAT,972455,,Karyotype,29864
NYX,981259,,Karyotype,29277
OAT,131202,,Karyotype,29133
RGR,318626,,Karyotype,28984
RPGRIP1,853252,,Karyotype,29580
RS1,307293,,Karyotype,30103
TRPM1,573709,,Karyotype,29695
VCAN,234671,,Karyotype,29651
COCH,363851,,Karyotype,29379
COL11A2,670277,,Karyotype,29921
DIAPH1,202440,,Karyotype,29498
EDNRB,601462,,Karyotype,29504
EYA1,698768,,Karyotype,30046
KCNQ4,386877,,Karyotype,29592
MYH9,643013,,Karyotype,29004
MYO6,293536,,Karyotype,29611
OTOA,299802,,Karyotype,30065
PAX3,378637,,Karyotype,29285
POU3F4,609189,,Karyotype,29830
RDX,636065,,Karyotype,29546
STRC,215847,,Karyotype,30130
AGXT,403271,,Karyotype,29106
ACHE,806022,,Karyotype,29015
CD40,241860,,Karyotype,29224
CETP,953459,,Karyotype,29230
MMP2,777910,,Karyotype,29171
CR2,305894,,Karyotype,29443
C3,168398,,Karyotype,29454
CTLA4,811683,,Karyotype,29462
IL10,725187,,Karyotype,29823
TMPRSS5,128417,,Karyotype,29732
CFH,300725,,Karyotype,29556
NR3C1,473588,,Karyotype,29419
CFB,444354,,Karyotype,29283
NRG1,539016,,Karyotype,29644
HLA-DQA1,968355,,Karyotype,29148
ITPR3,223036,,Karyotype,29731
SOD2,220685,,Karyotype,29229
IL2,292467,,Karyotype,29678
LAMC2,654855,,Karyotype,29980
LAMC1,625264,,Karyotype,30266
PTPRC,426794,,Karyotype,29970
LEF1,622623,,Karyotype,29696
MSMB,832615,,Karyotype,30266
IL12B,591441,,Karyotype,30094
NOS3,211612,,Karyotype,29147
PBX1,321940,,Karyotype,29134
TYK2,343214,,Karyotype,30091
SORD,873106,,Karyotype,30260
KITLG,224112,,Karyotype,29458
TG,378928,,Karyotype,29305
ERBB3,884003,,Karyotype,29404
TGFB1,273001,,Karyotype,29074
CFI,316800,,Karyotype,30024
CNTN1,562539,,Karyotype,29696
PDE4D,784957,,Karyotype,29547
KCNMA1,813791,,Karyotype,29992
NOTCH2,819948,,Karyotype,29312
PLA2G4A,130629,,Karyotype,30258
CPT2,195210,,Karyotype,30218
TNNT3,324389,,Karyotype,30167
CEBPE,201613,,Karyotype,29988
SYN2,162978,,Karyotype,29937
LAMA3,970463,,Karyotype,29063
EDAR,699028,,Karyotype,29255
BIN1,684911,,Karyotype,30155
DAZL,255667,,Karyotype,29683
PITX2,254074,,Karyotype,29125
TBX3,622479,,Karyotype,29578
TWIST1,339176,,Karyotype,30024
TBX4,569727,,Karyotype,29694
TBX1,359136,,Karyotype,30289
SH3BP2,799273,,Karyotype,29648
FGF10,638812,,Karyotype,28970
PITX1,443124,,Karyotype,30019
TERC,948199,,Karyotype,30088
MAD1L1,311497,,Karyotype,29094
PSMA6,461335,,Karyotype,30039
MAPK10,709693,,Karyotype,30186
NOG,751823,,Karyotype,29409
TNFSF4,495108,,Karyotype,29338
KCNE2,573873,,Karyotype,29337
HLA-DQB1,363958,,Karyotype,29149
ACSL6,884150,,Karyotype,29420
CNTNAP2,797048,,Karyotype,29644
ACTN4,598577,,Karyotype,29375
TAB2,797054,,Karyotype,30081
SPINT2,134660,,Karyotype,29112
HCN4,377259,,Karyotype,29815
JPH3,736882,,Karyotype,29542
APOA5,917323,,Karyotype,30116
BSND,235079,,Karyotype,29947
NLRP1,732999,,Karyotype,29857
COG5,186644,,Karyotype,29190
TPH2,709618,,Karyotype,29784
CRTC1,163263,,Karyotype,28999
MAML2,699176,,Karyotype,29178
SLC17A8,836468,,Karyotype,30091
KANK1,900473,,Karyotype,29102
PLEKHA1,859411,,Karyotype,29174
IGF2BP2,652806,,Karyotype,29220
ESR2,802645,,Karyotype,29268
NFKB1,138778,,Karyotype,29946
EHBP1,608859,,Karyotype,29537
GLIS3,753226,,Karyotype,30214
SLC30A8,812141,,Karyotype,29310
NAT2,430265,,Karyotype,29966
SLC29A3,678267,,Karyotype,29202
FBN2,769436,,Karyotype,29775
RNASET2,304795,,Karyotype,29321
CCR3,515477,,Karyotype,29894
CCR6,702971,,Karyotype,30001
CD226,217699,,Karyotype,29950
CD46,621455,,Karyotype,30120
CHRM3,118624,,Karyotype,29716
CLCA2,926109,,Karyotype,29703
CLU,700997,,Karyotype,29264
CTNNA3,578221,,Karyotype,29942
DIO1,128120,,Karyotype,29037
DLGAP2,658772,,Karyotype,29090
MTNR1B,659443,,Karyotype,29264
FLT1,294822,,Karyotype,29503
GAB2,223812,,Karyotype,29172
GFRA1,743983,,Karyotype,29625
GORAB,132031,,Karyotype,29126
FMN1,380033,,Karyotype,29678
GRIN2B,205085,,Karyotype,29847
GRK5,710160,,Karyotype,29442
GSDMA,544256,,Karyotype,29430
HACE1,392533,,Karyotype,29743
HCN1,880116,,Karyotype,30018
HHEX,553506,,Karyotype,30241
HLA-DOA,639948,,Karyotype,30170
HLA-DRA,887949,,Karyotype,29973
HLA-DRB1,596717,,Karyotype,29981
HTR3B,242493,,Karyotype,30252
IL12RB2,559009,,Karyotype,29656
ITGA11,360538,,Karyotype,29158
ITIH3,701778,,Karyotype,29740
KCNIP4,796620,,Karyotype,29272
KCNN3,691335,,Karyotype,29948
KIAA0513,692528,,Karyotype,29462
KLK3,954286,,Karyotype,29899
MAST4,294539,,Karyotype,30080
MCM3AP,605453,,Karyotype,29640
GRHL1,441976,,Karyotype,30202
MMADHC,194466,,Karyotype,30004
MMP7,548111,,Karyotype,30012
MTHFD1L,846555,,Karyotype,28961
MUC1,873431,,Karyotype,30228
NBEA,385320,,Karyotype,29234
NEDD4L,850051,,Karyotype,29094
NGFR,137654,,Karyotype,28999
NOS1,862105,,Karyotype,29706
NRXN3,611545,,Karyotype,29909
MACF1,564504,,Karyotype,29629
PHLPP2,646536,,Karyotype,29174
PLEC,296989,,Karyotype,29398
PRKCB,577721,,Karyotype,30053
JRK,786002,,Karyotype,29097
PTGIR,529287,,Karyotype,30168
RAD52,908912,,Karyotype,29409
SLC7A10,623211,,Karyotype,29986
SORBS1,810706,,Karyotype,28961
SPRY2,279111,,Karyotype,29541
TGFBR3,299988,,Karyotype,30080
TNS3,634821,,Karyotype,30153
WDR36,303081,,Karyotype,29666
ZPLD1,379530,,Karyotype,29356
SPIB,338071,,Karyotype,29882
PPP2R5C,618734,,Karyotype,29304
ATF7IP,806228,,Karyotype,29003
AFF1,767177,,Karyotype,30038
DUSP22,402556,,Karyotype,29724
ARMS2,310807,,Karyotype,28965
HTRA1,422516,,Karyotype,29542
SYN3,661965,,Karyotype,29268
ALDH1A2,740730,,Karyotype,29098
COL10A1,305816,,Karyotype,29760
HLA-B,196440,,Karyotype,29709
NCR3,691311,,Karyotype,29696
TREM2,841149,,Karyotype,29664
WNT3,857934,,Karyotype,29438
RPS26,914202,,Karyotype,29030
CXCR4,513834,,Karyotype,30083
SLC14A1,353373,,Karyotype,29765
GALC,191656,,Karyotype,30203
RORA,772426,,Karyotype,29676
SERPINH1,107625,,Karyotype,29268
NPAS3,890471,,Karyotype,29120
MAD2L1,679596,,Karyotype,29206
FUT2,345236,,Karyotype,30238
WNT4,177616,,Karyotype,29436
GABRA2,564580,,Karyotype,29424
ADH4,780015,,Karyotype,29391
HCP5,120268,,Karyotype,29196
HLA-DRB5,895378,,Karyotype,29602
ELP4,205370,,Karyotype,29811
UST,489119,,Karyotype,29616
ABCA1,420163,,Karyotype,29929
MICA,201486,,Karyotype,29738
PER2,699160,,Karyotype,29716
APOM,531592,,Karyotype,30201
IGFBP3,204982,,Karyotype,30282
TAAR6,863383,,Karyotype,29965
POU4F3,339949,,Karyotype,29499
TRPM3,866476,,Karyotype,30176
CHRM2,471551,,Karyotype,29546
IFRD1,472265,,Karyotype,29227
CD58,223885,,Karyotype,29665
CYP17A1,230152,,Karyotype,30223
IL10RB,251426,,Karyotype,29014
HLA-A,124226,,Karyotype,29960
NEGR1,886730,,Karyotype,29770
LCT,723943,,Karyotype,29779
SREBF1,416813,,Karyotype,30232
MSR1,809044,,Karyotype,29804
LHCGR,277806,,Karyotype,29997
MLPH,352674,,Karyotype,30207
OPHN1,280899,,Karyotype,29937
RAD23B,931961,,Karyotype,29622
SLC22A2,786687,,Karyotype,29675
SIX1,596552,,Karyotype,29392
CAST,292508,,Karyotype,29316
SUMF1,232601,,Karyotype,30126
ITIH4,549611,,Karyotype,29812
BDNF,288625,,Karyotype,30218
SLC12A1,952449,,Karyotype,29629
SLC22A11,768810,,Karyotype,29356
FOXE1,848464,,Karyotype,29563
PTPN22,413551,,Karyotype,30074
LPIN2,392094,,Karyotype,29300
KCNQ1OT1,799045,,Karyotype,29664
ANK1,457346,,Karyotype,30101
ROR2,571461,,Karyotype,29526
HOXA13,121937,,Karyotype,29114
GZMB,273684,,Karyotype,30024
LIMK1,461108,,Karyotype,29853
HLA-G,762692,,Karyotype,30290
APOC3,880161,,Karyotype,29944
GRB10,215359,,Karyotype,29174
CTNND2,460345,,Karyotype,30133
CHRNA5,787331,,Karyotype,28985
ACAN,105086,,Karyotype,30247
ZBTB16,373270,,Karyotype,30076
F2,601544,,Karyotype,29211
DDR2,673325,,Karyotype,29523
SS18,177081,,Karyotype,28979
ZFPM2,851024,,Karyotype,29288
CHST6,590217,,Karyotype,29447
CFHR3,491088,,Karyotype,29625
GFM1,368311,,Karyotype,29716
IVD,238450,,Karyotype,29397
SRD5A2,184008,,Karyotype,29622
ABCC1,139354,,Karyotype,29487
AKAP13,589829,,Karyotype,30065
ANGPT1,900346,,Karyotype,30098
ATL1,341918,,Karyotype,29834
CSMD1,822122,,Karyotype,29658
GRID1,364861,,Karyotype,29250
MMP14,339991,,Karyotype,29055
MUC2,179530,,Karyotype,29015
PPARGC1A,892113,,Karyotype,29205
SHROOM3,182623,,Karyotype,30196
SLC17A1,349487,,Karyotype,29442
TIMP2,300806,,Karyotype,29249
TNR,505753,,Karyotype,29380
TWIST2,178774,,Karyotype,29240
DPP6,141803,,Karyotype,29158
ERAP1,448229,,Karyotype,29825
CARD16,114635,,Karyotype,29911
FGF3,513657,,Karyotype,29415
GOSR2,346037,,Karyotype,29958
ADRA2A,931526,,Karyotype,29503
PROCR,481426,,Karyotype,29171
ERBB4,954469,,Karyotype,29236
CHST3,511683,,Karyotype,30259
MTND4P19,941023,,Karyotype,29474
PRMT5P1,438192,,Karyotype,30001
TMF1P1,197289,,Karyotype,29411
HNF1A-AS1,253657,,Karyotype,29576
LINC00485,456226,,Karyotype,29221
RNU4-17P,990133,,Karyotype,29857
MRPS5P4,429057,,Karyotype,29437
PITPNB,754691,,Karyotype,29447
CCL7,842194,,Karyotype,30021
PGAP3,956309,,Karyotype,29535
LINC02260,652195,,Karyotype,30251
LINC01488,229330,,Karyotype,29683
CCDC91,463077,,Karyotype,29986
RN7SKP15,799655,,Karyotype,29953
SMCR2,752615,,Karyotype,29727
HAP1,635201,,Karyotype,29262
ATE1,845193,,Karyotype,30024
LINC01229,395092,,Karyotype,29072
RPL3,515518,,Karyotype,28981
FAM167A,758118,,Karyotype,29163
PDILT,280076,,Karyotype,29174
CTDSP1,734737,,Karyotype,29114
RNU6-394P,284816,,Karyotype,29288
ADAMTS20,467221,,Karyotype,29375
RPL36AP1,820866,,Karyotype,29535
CAV2,598822,,Karyotype,29713
GATD3,128162,,Karyotype,29656
RNU6-1091P,733790,,Karyotype,29485
SPMIP7,183084,,Karyotype,29710
LINC02695,247088,,Karyotype,29751
MIR4693,268362,,Karyotype,30153
JAKMIP1-DT,604463,,Karyotype,30061
TMEM97P2,449653,,Karyotype,29702
C1orf141,581972,,Karyotype,29172
LINC02929,426272,,Karyotype,29621
SMIM3,999841,,Karyotype,29919
IFNLR1,695728,,Karyotype,30233
LRRK2-DT,663458,,Karyotype,30072
FAM163B,766049,,Karyotype,29590
LINC02318,932913,,Karyotype,30163
RPL30P9,371838,,Karyotype,29992
RPL29P16,985247,,Karyotype,30248
CDC5L,414315,,Karyotype,30288
MIR3939,725229,,Karyotype,30026
APOC1P1,771689,,Karyotype,30196
GALNT17,698060,,Karyotype,29428
RNU6-1133P,605545,,Karyotype,29279
SMARCE1,883139,,Karyotype,29348
PSMC1P3,614952,,Karyotype,29013
RIGI,573314,,Karyotype,29960
SLC25A38P1,725814,,Karyotype,29799
TMCO5B,318023,,Karyotype,29348
USP8P1,624448,,Karyotype,29891
BRD2,156612,,Karyotype,29210
HLA-DRB9,676783,,Karyotype,29970
TSBP1-AS1,766311,,Karyotype,30139
DEFA10P,416764,,Karyotype,30089
SLC9A4,521469,,Karyotype,29923
LINC02705,389596,,Karyotype,29875
KAZN,223692,,Karyotype,29006
KDM4A,945495,,Karyotype,29106
SKIC2,487645,,Karyotype,30125
LINC02513,264849,,Karyotype,29313
TMSB4X,706990,,Karyotype,30246
ALDH9A1,546529,,Karyotype,29199
DELEC1,760194,,Karyotype,29648
BCLAF1P1,196032,,Karyotype,29286
MAGOH3P,657959,,Karyotype,30001
IGHV3-71,805731,,Karyotype,29538
TRAJ9,872752,,Karyotype,30120
RN7SKP211,946854,,Karyotype,29989
NFU1P1,841570,,Karyotype,30031
MMADHC-DT,538115,,Karyotype,29038
RIT2,970278,,Karyotype,29982
NPFFR1,439039,,Karyotype,30156
ARID5B,150646,,Karyotype,29376
CCDC26,121412,,Karyotype,29274
METAP2P1,427659,,Karyotype,29231
CASC17,711587,,Karyotype,29046
RPL41P1,437066,,Karyotype,29349
TNFRSF10A-DT,806231,,Karyotype,29126
REST,318120,,Karyotype,29265
C2-AS1,121024,,Karyotype,29971
GALR1,287888,,Karyotype,29082
ERICH1,603877,,Karyotype,29789
LINC01101,156738,,Karyotype,29485
NECTIN2,109698,,Karyotype,30054
EIF3KP3,254065,,Karyotype,29883
LINC00861,379153,,Karyotype,29824
MIR29B2CHG,423308,,Karyotype,29032
LINC01048,853044,,Karyotype,29678
LINC02836,263561,,Karyotype,30251
DAPK3,862451,,Karyotype,29076
CLIC5,745097,,Karyotype,29835
RPL21P47,909655,,Karyotype,29022
LINC01741,858547,,Karyotype,29064
C1DP5,879424,,Karyotype,29114
LINC02537,376593,,Karyotype,29516
COL8A1,385245,,Karyotype,29243
SLC16A8,990874,,Karyotype,29812
LINC00243,845600,,Karyotype,29101
MCUB,768968,,Karyotype,29246
RAD51B,485664,,Karyotype,29936
ADAMTS9-AS2,834220,,Karyotype,29131
B3GLCT,302981,,Karyotype,29674
SLC1A3-AS1,264346,,Karyotype,29219
OSTCP2,784517,,Karyotype,29606
SIGLEC5,638765,,Karyotype,29798
FCER1G,827196,,Karyotype,29872
LINC02757,558432,,Karyotype,30014
CLEC16A,345242,,Karyotype,29659
GTF3AP1,214332,,Karyotype,29646
LINC00299,430343,,Karyotype,29235
SLC25A46,380956,,Karyotype,29908
LINC02676,737616,,Karyotype,28972
ADAD1,191837,,Karyotype,29029
PSMD3,439839,,Karyotype,29208
TH2LCRR,735689,,Karyotype,29431
FLG,232995,,Karyotype,28972
RERE,142806,,Karyotype,29333
RPL13AP18,330301,,Karyotype,29016
ZNF217,586436,,Karyotype,29599
BACH2,431702,,Karyotype,29772
HDAC7,326417,,Karyotype,29385
ZNF652,253752,,Karyotype,29373
NDFIP1,732239,,Karyotype,29682
LAYN,609462,,Karyotype,29984
EEF1A1P27,552642,,Karyotype,30084
ANAPC1,783373,,Karyotype,30110
COL21A1,741735,,Karyotype,29916
ABCA7,427224,,Karyotype,29879
PTK2B,321940,,Karyotype,30177
EPHA1-AS1,568192,,Karyotype,29091
ZCWPW1,597202,,Karyotype,30097
GPR141,277972,,Karyotype,29329
FERMT2,949849,,Karyotype,30219
CELF1,917953,,Karyotype,29935
INPP5D,389497,,Karyotype,29405
MEF2C-AS1,423774,,Karyotype,29837
CASS4,590638,,Karyotype,30016
LINC02360,781149,,Karyotype,29607
NDUFAF6,378954,,Karyotype,30173
USP6NL-AS1,337892,,Karyotype,29947
SPPL2A,131287,,Karyotype,29910
LINC01031,492709,,Karyotype,30209
TRIP4,229945,,Karyotype,29843
ZNF594-DT,911624,,Karyotype,29155
AP2A2,715884,,Karyotype,28988
SIGLEC22P,364272,,Karyotype,30251
LINC00470,796435,,Karyotype,29786
SUDS3,340891,,Karyotype,29879
FBXL7,946519,,Karyotype,29595
CACNA2D3,738910,,Karyotype,29110
PDE1A,253816,,Karyotype,29333
FBXO40,441310,,Karyotype,29899
DAPL1,319067,,Karyotype,29071
RPS27P10,722823,,Karyotype,30111
LINC01684,628454,,Karyotype,29303
LINC02500,821481,,Karyotype,29694
RPL7AP36,363621,,Karyotype,30236
IMMP2L,755304,,Karyotype,29467
CADM2,153773,,Karyotype,29978
MS4A4A,344317,,Karyotype,30233
ARL17B,322067,,Karyotype,29606
CDC42SE2,108876,,Karyotype,29323
PFDN1,657927,,Karyotype,30222
MEIKIN,845351,,Karyotype,29413
FNIP1,422486,,Karyotype,29117
CLDN18,547574,,Karyotype,30153
RAPGEF6,495539,,Karyotype,29869
HID1-AS1,319990,,Karyotype,29060
SH2D4B,721339,,Karyotype,29250
FAM157D,955157,,Karyotype,29159
RN7SL691P,694171,,Karyotype,29023
PPIAP17,579158,,Karyotype,29564
LINC02210-CRHR1,325493,,Karyotype,29788
TSEN15P3,783685,,Karyotype,29591
IL21-AS1,280855,,Karyotype,29599
LINC02667,756517,,Karyotype,29404
SERINC5,530460,,Karyotype,29000
